number,title,country
54174,BCBST - BlueCross BlueShield of Tennessee,US
54175,WBGM - WB Games Montreal Inc,CA
54176,"AS54176 - JAB Wireless, INC.",US
54177,ASN-SJFC - St. John Fisher College,US
395232,"NEAXCOMM-NY - Nexacomm, LLC",US
395233,NMEDIA1047 - Nmedia Solutions Inc,CA
395230,ABM-IND-DR - ABM Industries,US
395231,"AEROHIVE - Aerohive Networks, Inc.",US
395236,SYRACUSE-CITY-SCHOOL-DISTRICT-AS-SYR-NY-US - Syracuse City School District,US
395237,CENTRIC-INTERNET-SERVICES - Centric Internet Services Corporation,US
395234,ANESTHESIALLC - ANESTHESIA BUSINESS CONSULTANTS LLC,US
395235,STEGH-AS - St. Thomas-Elgin General Hospital,CA
207146,ETARG,US
264995,OLOS TECNOLOGIA LTDA,BR
264996,L MARTINS DE OLIVEIRA - ME,BR
264997,DIRECT MASTER TELECOM,BR
264990,WT INFORMATICA TELECOMUNICAÇÕES LTDA - ME,BR
264991,BOMFIM E SOUSA LTDA,BR
264992,ROSIVALDO L. SILVA-ME,BR
264993,SPEEDNET ALLIANCE PROVEDOR DE INTERNET LTDA - ME,BR
62085,KURESELBETA-NETWORKS,TR
62084,EXTMEDIA-AS,BY
62087,UNIREGISTRAR,KY
62086,VIADE,DE
264998,SQUID NET TELECOMUNICACOES LTDA ME,BR
264999,F. A. F. DA SILVA,BR
62083,FIO-BANKA-AS,CZ
62082,HOSTLAND,RU
47843,CWM-AS,IR
40320,"KROHNE-INC - KROHNE, INC.",US
20258,"ANALOG-DEVICES - Analog Devices, Inc.",US
20259,CVW-1 - Copper Valley Telephone Cooperative Incorporated,US
58961,OPENIP-AS Perhimpunan Klik Indonesia,ID
40321,ESB - Emigrant Bank,US
20252,JSIWMC - Joan and Sanford I. Weill Medical College and Graduate School of Medical Sciences of Cornell University,US
20253,VISA-DPS - VISA Debit Processing Services,US
20250,RMWC-NET - Randolph College,US
20251,"SOLARWINDSAUSTIN - SolarWinds, Inc.",US
20256,Ultramar Agencia Maratima,CL
20257,"FTC-INET - Farmers Telephone Cooperative, Inc.",US
20254,"FRML-ASN - Fore Research & Management, LP",US
20255,Tecnowind S.A.,UY
40966,VALUEHOST-AS ValueHOST Cloud Network,RU
40967,CSF-AS,DE
40964,ASTELNET Astelnet network,CZ
40323,VAFB - Virginia Farm Bureau Mutual Insurance Company,US
29769,-Reserved AS-,ZZ
29768,MWLLC - MOFFATT WIRELESS LLC,US
40960,AUTO-1HS,RU
40961,POLMEX,PL
29765,"DATACHAMBERS - DataChambers, LLC",US
29764,AMETEK-CTC - AMETEK Inc.,US
29767,COMMERCE-BANCSHARES - Commerce Bank,US
29766,CHSPSC-29766 - Community Health Systems Professional Services Corporation,US
29761,"AS-QUADRANET - QuadraNet, Inc",US
29760,M2-CONNECTIONS - M2 Connections,US
29763,JMC-AS - Jason Malacko Consulting,US
29762,AS29762 - Emergent Networks,US
1177,SURFNET-AS SURFnet BV,EU
1176,SURFNET-AS SURFnet BV,EU
1175,SURFNET-AS SURFnet BV,EU
1174,SURFNET-AS SURFnet BV,EU
1173,SURFNET-AS SURFnet BV,EU
1172,SURFNET-AS SURFnet BV,EU
1171,SURFNET-AS SURFnet BV,EU
1170,SURFNET-AS SURFnet BV,EU
23507,LEAFASN - LEAF Commercial Capital,US
23506,MOCANA-SACTO - MOCANA CORPORATION,US
23505,"ECG-CHARLOTTE - Ecommerce Group, Inc. - Charlotte",US
23504,MEGAPATH9-US - MegaPath Corporation,US
23503,CONSTELLATION-ENERGY - Exelon Corporation,US
23502,"EXECPRO-AS - Execpro Information Services, LLC",US
1179,SURFNET-AS SURFnet BV,EU
1178,SURFNET-AS SURFnet BV,EU
51826,N24-GESELLSCHAFT-FUER-NACHRICHTEN-UND-ZEITGESCHEHEN-MBH-AS,DE
40328,ACEGROUP - Ace Communications Group,US
27619,AS-CUSTOMCRITICAL - FedEx Custom Critical,US
27618,QUICKSTREAM - T. Grand Networks Inc.,CA
27617,ASN-WBTO - Warner Bros. Advanced Digital Services,US
27616,AS-NEWSCHOOL - The New School,US
27615,HOVRS - Purple Language Services Co.,US
27614,"ELDERHOSTEL - Elderhostel, Inc.",US
27613,XPLORATIONS-1 - Thomas Shaffer,US
27612,"WYLTK-ASN-1 - wyltK, LLC",US
27611,"AS-NATIVEHOSTING - Native Hosting, Inc.",US
27610,WOOT - Woot Services LLC,US
59038,"GMW Guangming Online Communication Co.,Ltd",CN
59039,BESTV Bestv IPTV Ltd.,CN
59032,TYNET Tianying Information and Technology Co. Ltd.,CN
29923,NPC-AS-1 - Northland Pioneer College,US
59030,"NEUNN Neunn Technology Co., Ltd",CN
59031,TEAMSUN BeiJing Teamsun Technology Co.Ltd.,CN
54307,ACAD - Alberta College of Art and Design,CA
59037,"ZHIYUNET Hangzhou ZhiYu Network Technology Co.,Ltd.",CN
59034,"WISHNET BeiJing Wish Network Technology CO.,LTD.",CN
29922,SANFORD-AIRPORT-AUTHORITY - Sanford Airport Authority,US
263179,"Webline Services, S.A.",HN
263178,"Ministerio de Planificacion Federal, Inversion Publica y Servicios",AR
263173,Telmex Chile Internet S.A.,CL
263172,HORAS LENIO ARIEL,AR
58700,SPICEDIGITALAPNIC-IN Spice Digital Ltd.,IN
263170,Netsys,HN
263177,METRONET S.A.,NI
